CMOR Dimensions,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CMOR table(s),CMOR dimension,output dimension name,description,standard name,long name,axis,units,index axis?,coords_attrib,bounds?,stored direction,valid_min,valid_max,type,positive,value,bounds _values,requested,bounds_ requested,tol_on_requests: variance from requested values that is tolerated,grid?
fx Amon Lmon LImon OImon aero day 6hrLev 6hrPlev 3hr Oclim Oyr Omon cfMon cfOff cfDay cf3hr,longitude,lon,,longitude,longitude,X,degrees_east,,,yes,increasing,0,360,double,,,,,,,
fx Amon Lmon LImon OImon aero day 6hrLev 6hrPlev 3hr Oclim Oyr Omon cfMon cfOff cfDay cf3hr,latitude,lat,,latitude,latitude,Y,degrees_north,,,yes,increasing,-90,90,double,,,,,,,
Amon,plevs,plev,There are 17 mandatory levels and up to 6 additional levels requested of models with sufficient resolution in the stratosphere.,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,100000. 92500. 85000. 70000. 60000. 50000. 40000. 30000. 25000. 20000. 15000. 10000. 7000. 5000. 3000. 2000. 1000.,,0.001,
day,plev8,plev,,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,100000. 85000. 70000. 50000. 25000. 10000. 5000. 1000.,,0.001,
6hrPlev,plev3,plev,,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,85000. 50000. 25000.,,0.001,
cfMon cfDay,plev7,plev,7 pressure layers defined by ISCCP simulator,air_pressure,pressure,Z,Pa,,,yes,decreasing,,,double,down,,,90000. 74000. 62000. 50000. 37500. 24500. 9000.,100000. 80000. 80000. 68000. 68000. 56000. 56000. 44000. 44000. 31000. 31000. 18000. 18000. 0.,0.001,
cfDay,p500,plev,500 hPa,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,50000.,,,,,
cfDay,p700,plev,700 hPa,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,70000.,,,,,
cfMon cfOff cf3hr,p220,plev,pressure layer of high-level cloud in ISCCP simulator,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,22000.,44000. 0.0,,,,
cfMon cfOff cf3hr,p560,plev,pressure layer of mid-level cloud in ISCCP simulator,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,56000.,68000. 44000.,,,,
cfMon cfOff cf3hr,p840,plev,pressure layer of low-level cloud in ISCCP simulator,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,84000.,100000. 68000.,,,,
Amon aero 6hrLev cfMon cfDay cf3hr cfSites,alevel,lev,generic atmospheric model vertical coordinate (nondimensional or dimensional),,atmospheric model level,Z,,ok,,yes,,,,double,up,,,,,,
Amon cfMon cfDay cf3hr cfSites,alevhalf,lev,atmospheric model half level,,atmospheric model half-level,Z,,ok,,no,,,,double,up,,,,,,
aero,alev1,lev,atmospheric model's lowest level,,lowest atmospheric model level,Z,,ok,,yes,,,,double,,,,,,,
cfMon cfOff cfDay cf3hr,alt40,alt40,CloudSat vertical coordinate heights,altitude,altitude,Z,m,,,yes,increasing,,,double,up,,,240. 720. 1200. 1680. 2160. 2640. 3120. 3600. 4080. 4560. 5040. 5520. 6000. 6480. 6960. 7440. 7920. 8400. 8880. 9360. 9840. 10320. 10800. 11280. 11760. 12240. 12720. 13200. 13680. 14160. 14640. 15120. 15600. 16080. 16560. 17040. 17520. 18000. 18480. 18960.,0. 480. 480. 960. 960. 1440. 1440. 1920. 1920. 2400. 2400. 2880. 2880. 3360. 3360. 3840. 3840. 4320. 4320. 4800. 4800. 5280. 5280. 5760. 5760. 6240. 6240. 6720. 6720. 7200. 7200. 7680. 7680. 8160. 8160. 8640. 8640. 9120. 9120. 9600. 9600. 10080. 10080. 10560. 10560. 11040. 11040. 11520. 11520. 12000. 12000. 12480. 12480. 12960. 12960. 13440. 13440. 13920. 13920. 14400. 14400. 14880. 14880. 15360. 15360. 15840. 15840. 16320. 16320. 16800. 16800. 17280. 17280. 17760. 17760. 18240. 18240. 18720. 18720. 19200.,0.001,
Oyr Amon Lmon LImon OImon aero day 3hr Omon cfMon cfOff cfDay cf3hr,time,time,for time-mean fields,time,time,T,days since ?,,,yes,increasing,,,double,,,,,,,
6hrLev 6hrPlev 3hr cf3hr cfSites,time1,time,synoptic times (for fields that are not time-means),time,time,T,days since ?,,,no,increasing,,,double,,,,,,,
Oclim Amon,time2,time,climatological times,time,time,T,days since ?,,,yes,increasing,,,double,,,,,,,
Amon day 3hr cf3hr cfSites,height2m,height,~2 m standard surface air temperature and surface humidity height,height,height,Z,m,,,no,increasing,1,10,double,up,2.,,,,,
Amon day 3hr cf3hr cfSites,height10m,height,~10 m standard wind speed height,height,height,Z,m,,,no,increasing,1,30,double,up,10.,,,,,
Lmon LImon,sdepth,depth,coordinate values for soil layers (depth),depth,depth,Z,m,,,yes,increasing,0,200,double,down,,,,,,
Lmon day 3hr,sdepth1,depth,coordinate value for topmost 0.1 meter layer of soil,depth,depth,Z,m,,,yes,increasing,0,0.2,double,down,0.05,0.0 0.1,,,,
cfMon cfDay,tau,tau,isccp optical depth categories,atmosphere_optical_thickness_due_to_cloud,cloud optical thickness,,1,,,yes,increasing,,,double,,,,0.15 0.8 2.45 6.5 16.2 41.5 100.,0.0 0.3 0.3 1.3 1.3 3.6 3.6 9.4 9.4 23.0 23.0 60.0 60.0 100000.,0.001,
cfOff cf3hr,scatratio,scatratio,15 bins of scattering ratio for the CALIPSO simulator CFAD,backscattering_ratio,lidar backscattering ratio,,1,,,yes,increasing,,,double,,,,0.005 0.605 2.1 4. 6. 8.5 12.5 17.5 22.5 27.5 35. 45. 55. 70. 50040.,0. 0.01 0.01 1.2 1.2 3. 3. 5. 5. 7. 7. 10. 10. 15. 15. 20. 20. 25. 25. 30. 30. 40. 40. 50. 50. 60. 60. 80. 80. 100000.,0.001,
cfOff cf3hr,dbze,dbze,15 bins of radar reflectivity for CloudSat simulator CFAD,equivalent_reflectivity_factor,CloudSat simulator equivalent radar reflectivity factor,,dBZ,,,yes,increasing,,,double,,,,-47.5 -42.5 -37.5 -32.5 -27.5 -22.5 -17.5 -12.5 -7.5 -2.5 2.5 7.5 12.5 17.5 22.5,-50. -45. -45. -40. -40. -35. -35. -30. -30. -25. -25. -20. -20. -15. -15. -10. -10. -5. -5. 0. 0. 5. 5. 10. 10. 15. 15. 20. 20. 25.,0.001,
cfMon cfOff cfDay cf3hr,sza5,sza,5 solar zenith angles for PARASOL reflectances,solar_zenith_angle,solar zenith angle,,degree,,,no,increasing,,,double,,,,0. 20. 40. 60. 80.,,0.001,
cfSites,site,site,an integer assigned to each of 119 stations (standard) and 73 stations (aquaplanet),,site index,,,ok,,no,,,,integer,,,,,,,yes
Omon,basin,basin,,region,ocean basin,,,,region,no,,,,character,,,,atlantic_arctic_ocean indian_pacific_ocean global_ocean,,,
Omon,rho,rho,potential density referenced to 2000 dbar,sea_water_potential_density,potential density referenced to 2000 dbar,Z,kg m-3,,,yes,increasing,,,double,down,,,,,,
fx Oclim Oyr Omon,olevel,lev,generic ocean model vertical coordinate (nondimensional or dimensional),,ocean model level,Z,,ok,,yes,,,,double,down,,,,,,
Omon,oline,line,opening passage strait channel etc.,region,ocean passage,,,,passage,no,,,,character,,,,barents_opening bering_strait canadian_archipelago denmark_strait drake_passage english_channel pacific_equatorial_undercurrent faroe_scotland_channel florida_bahamas_strait fram_strait iceland_faroe_channel indonesian_throughflow mozambique_channel taiwan_luzon_straits windward_passage,,,
cf3hr,location,loc,COSP profile in instantaneous curtain mode,,location index,,,ok,,no,increasing,,,integer,,,,,,,yes
Lmon,vegtype,type,plant functional type. Several plant functional types have been defined in the area_type table available at: cf-pcmdi.llnl.gov/documents/cf-standard-names/area-type-table/current/,area_type,plant functional type,,,,type_description,no,,,,character,,,,,,,
Lmon,typebare,type,,area_type,surface type,,,,type_description,no,,,,character,,bare_ground,,,,,
Lmon,typepdec,type,,area_type,surface type,,,,type_description,no,,,,character,,primary_deciduous_trees,,,,,
Lmon,typepever,type,,area_type,surface type,,,,type_description,no,,,,character,,primary_evergreen_trees,,,,,
Lmon,typesdec,type,,area_type,surface type,,,,type_description,no,,,,character,,secondary_decidous_trees,,,,,
Lmon,typesever,type,,area_type,surface type,,,,type_description,no,,,,character,,secondary_evergreen_trees,,,,,
Lmon,typec3pft,type,,area_type,surface type,,,,type_description,no,,,,character,,c3_plant_functional_types,,,,,
Lmon,typec4pft,type,,area_type,surface type,,,,type_description,no,,,,character,,c4_plant_functional_types,,,,,
,,,,,,,,,,,,,,,,,,,,,
Omon,olayer100m,depth,coordinate for 100 m ocean surface layer,depth,depth,Z,m,,,no,increasing,0,100,double,down,50.,0. 100.,,,,
Omon,depth100m,depth,coordinate value for 100 m ocean depth,depth,depth,Z,m,,,no,increasing,80,120,double,down,100.,,,,,
Omon,depth0m,depth,vertical coordinate for ocean surface,depth,depth,Z,m,,,no,increasing,0,100,double,down,0.,,,,,
CMOR Table fx: Time-Invariant Fields,,,,,fx,fx,,,,,,,,,,,,,,,,
In CMOR Table fx: Time-Invariant Fields,,,,,fx,fx,,,,,,,,,,,,,,,,
on atmospheric grid,,,,,,,,,,,,,,,,,,,,,,
Atmospheric and land fields may be submitted on a (single) grid of the modeling group's choosing. We expect most groups will elect to save output on the native grid. If data is interpolated to a different grid it is important to preserve certain global mean properties (e.g. the total surface fluxes of heat momentum and water mass).,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units,comment,questions & notes,output variable name,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Atmosphere Grid-Cell Area,m2,,For atmospheres with more than 1 mesh (e.g. staggered grids) report areas that apply to surface vertical fluxes of energy.,areacella,cell_area,,m2,,1.00E+05,1.00E+12,1.00E+05,1.00E+12,,real,longitude latitude,areacella,atmos land,,,,
1,Surface Altitude,m,height above the geoid; as defined here the geoid is a surface of constant geopotential that if the ocean were at rest would coincide with mean sea level. Under this definition the geoid changes as the mean volume of the ocean changes (e.g. due to glacial melt or global warming of the ocean). Reported here is the height above the present-day geoid (0.0 over ocean).,,orog,surface_altitude,,m,,-700,1.00E+04,,,,real,longitude latitude,orog,atmos,,area: areacella,,
1,Land Area Fraction,%,,For atmospheres with more than 1 mesh (e.g. staggered grids) report areas that apply to surface vertical fluxes of energy.,sftlf,land_area_fraction,,%,,0,100,,,,real,longitude latitude,sftlf,atmos,,area: areacella,,
1,Fraction of Grid Cell Covered with Glacier,%,fraction of grid cell occupied by permanent ice (i.e. glaciers). ,For atmospheres with more than 1 mesh (e.g. staggered grids) report areas that apply to surface vertical fluxes of energy.,sftgif,land_ice_area_fraction,,%,,0,100,,,,real,longitude latitude,sftgif,land,,area: areacella,,
1,Capacity of Soil to Store Water,kg m-2,reported where land: divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell; reported as missing where the land fraction is 0.,,mrsofc,soil_moisture_content_at_field_capacity,,kg m-2,,,,,,,real,longitude latitude,mrsofc,land,,area: areacella,,
1,Maximum Root Depth,m,report the maximum soil depth reachable by plant roots (if defined in model) i.e. the maximum soil depth from which they can extract moisture; report as missing where the land fraction is 0.,,rootd,root_depth,,m,,0,30,,,,real,longitude latitude,rootd,land,,area: areacella,,
on ocean grid,,,,,,,,,,,,,,,,,,,,,,
The WGOMD has recommended that all ocean fields be saved on the model's native ocean grid. Many groups will also elect to save the sea ice fields on the ocean grid. (The alternative is to save sea ice fields on the atmosphere grid.) If data is interpolated from its native grid it is important to preserve certain global mean properties (e.g. the total surface fluxes of heat momentum and water mass into the ocean).,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units,comment,questions & notes,output variable name,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Sea Floor Depth,m,Ocean bathymetry. Reported here is the sea floor depth for present day. Reported as missing for land grid cells.,,deptho,sea_floor_depth_below_geoid,,m,,0,10000,2000,5000,,real,longitude latitude,deptho,ocean,,area: areacello,,
1,Ocean Grid-Cell Volume,m3,grid-cell volume ca. 2000. ,a 3-d field: For oceans with more than 1 mesh report on grid that applies to temperature,volcello,ocean_volume,,m3,,0,1.00E+15,0,1.00E+15,,real,longitude latitude olevel,volcello,ocean,,,,
1,Ocean Grid-Cell Area,m2,,For oceans with more than 1 mesh (e.g. staggered grids) report areas that apply to surface vertical fluxes of energy.,areacello,cell_area,,m2,,0,1.00E+12,0,1.00E+12,,real,longitude latitude,areacello,ocean,,,,
1,Sea Area Fraction,%,This is the area fraction at the ocean surface.,Should this be recorded as a function of depth? Report on the same grid that ocean fields are reported (i.e. the ocean native grid or the grid that ocean data has been provided to CMIP. For completeness provide this even if the ocean grid is the same as the atmospheric grid.,sftof,sea_area_fraction,,%,,0,100,,,,real,longitude latitude,sftof,ocean,,area: areacello,,
1,Region Selection Index,1,,Report on the same grid as the temperature field. flag_values=0 1 2 3 4 5 6 7 8 9 10 corresponding to flag_meanings=global_land southern_ocean atlantic_ocean pacific_ocean arctic_ocean indian_ocean mediterranean_sea black_sea hudson_bay baltic_sea red_sea.,basin,region,,1,,0,10,,,,integer,longitude latitude,basin,ocean,,area: areacello,0 1 2 3 4 5 6 7 8 9 10,global_land southern_ocean atlantic_ocean pacific_ocean arctic_ocean indian_ocean mediterranean_sea black_sea hudson_bay baltic_sea red_sea
2,Upward Geothermal Heat Flux at Sea Floor,W m-2,,If this field is time-dependent then save it instead as one of your Omon fields (see the Omon table),hfgeou,upward_geothermal_heat_flux_at_sea_floor,,W m-2,area: mean where sea,,,,,up,real,longitude latitude,hfgeou,ocean,,area: areacello,,
2,Ocean Model Cell Thickness,m,,If this field is time-dependent then save it instead as one of your Omon fields (see the Omon table),thkcello,cell_thickness,,m,time: mean,,,,,,real,longitude latitude olevel,thkcello,ocean,,area: areacello volume: volcello,,
CMOR Table Oclim: Monthly Mean Ocean Climatology (Jan. 1986-Dec. 2005 of historical run),,,,,Oclim,monClim,,,,,,,,,,,,,,,,
(All Saved on the Ocean Grid),,,,,,,,,,,,,,,,,,,,,,
Further explanation of the fields in the following tables (except the last field zlayer) can be found in Griffies et al. available at http://www.clivar.org/sites/default/files/imported/organization/wgomd/references/WGOMD_CMIP5_ocean_fields.pdf . Some of the information in that document will be transcribed into the comment column of this spreadsheet.,,,,,,,,,,,,,,,,,,,\,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
In CMOR Table Oclim: WGOMD Table 2.9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units,comment,questions & notes,output variable name,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
3,Ocean Vertical Heat Diffusivity,m2 s-1,,,difvho,ocean_vertical_heat_diffusivity,,m2 s-1,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,difvho,ocean,,area: areacello volume: volcello,,
3,Ocean Vertical Salt Diffusivity,m2 s-1,,,difvso,ocean_vertical_salt_diffusivity,,m2 s-1,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,difvso,ocean,,area: areacello volume: volcello,,
3,Ocean Vertical Tracer Diffusivity due to Background,m2 s-1,,,difvtrbo,ocean_vertical_tracer_diffusivity_due_to_background,,m2 s-1,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,difvtrbo,ocean,,area: areacello volume: volcello,,
3,Ocean Vertical Tracer Diffusivity due to Tides,m2 s-1,,,difvtrto,ocean_vertical_tracer_diffusivity_due_to_tides,,m2 s-1,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,difvtrto,ocean,,area: areacello volume: volcello,,
3,Tendency of Ocean Potential Energy Content,W m-2,,,tnpeo,tendency_of_ocean_potential_energy_content,,W m-2,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,tnpeo,ocean,,area: areacello volume: volcello,,
3,Tendency of Ocean Potential Energy Content due to Tides,W m-2,,,tnpeot,tendency_of_ocean_potential_energy_content_due_to_tides,,W m-2,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,tnpeot,ocean,,area: areacello volume: volcello,,
3,Tendency of Ocean Potential Energy Content due to Background,W m-2,,,tnpeotb,tendency_of_ocean_potential_energy_content_due_to_background,,W m-2,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,tnpeotb,ocean,,area: areacello volume: volcello,,
3,Ocean Vertical Momentum Diffusivity,m2 s-1,,,difvmo,ocean_vertical_momentum_diffusivity,,m2 s-1,time: mean within years time: mean over years,,,,,,real,longitude latitude olevel time2,difvmo,ocean,,area: areacello volume: volcello,,
